Length,No. of Transmits,Deletion Probability,Percentage Error,Time Taken
50,8,10.0,77.5,1.2907044887542725
50,8,30.0,100.0,1.2768168449401855
50,15,0.01,0.0,2.619561195373535
50,15,0.03,0.0,3.496617317199707
50,15,0.1,0.0,3.56056809425354
50,15,0.3,0.0,3.4983763694763184
50,15,1.0,0.0,3.5107643604278564
50,15,3.0,0.4,3.623833656311035
50,15,10.0,53.800000000000004,2.458207845687866
50,15,30.0,100.0,2.0249743461608887
50,22,0.01,0.0,3.4320290088653564
50,22,0.03,0.0,2.8870432376861572
50,22,0.1,0.0,3.3948779106140137
50,22,0.3,0.0,2.9786217212677
50,22,1.0,0.0,3.3616371154785156
50,22,3.0,0.1,3.380514144897461
50,22,10.0,50.0,2.868072748184204
50,22,30.0,100.0,3.3181214332580566
50,29,0.01,0.0,4.14889931678772
50,29,0.03,0.0,3.645998001098633
50,29,0.1,0.0,4.184535264968872
50,29,0.3,0.0,4.98093843460083
50,29,1.0,0.0,6.086393356323242
50,29,3.0,0.0,6.045527219772339
50,29,10.0,44.0,4.812096118927002
50,29,30.0,100.0,3.437073230743408
50,36,0.01,0.0,4.995394229888916
50,36,0.03,0.0,5.001168727874756
50,36,0.1,0.0,4.944267988204956
50,36,0.3,0.0,4.959205627441406
50,36,1.0,0.0,4.925504207611084
50,36,3.0,0.0,5.115682601928711
50,36,10.0,39.7,5.865221738815308
50,36,30.0,100.0,7.757050275802612
50,43,0.01,0.0,8.934548139572144
50,43,0.03,0.0,5.1531829833984375
50,43,0.1,0.0,5.772590160369873
50,43,0.3,0.0,5.72636342048645
50,43,1.0,0.0,5.6446373462677
50,43,3.0,0.0,5.681176424026489
50,43,10.0,36.800000000000004,5.670034170150757
50,43,30.0,100.0,7.571971416473389
50,50,0.01,0.0,9.910066604614258
50,50,0.03,0.0,6.73357367515564
50,50,0.1,0.0,6.506957292556763
50,50,0.3,0.0,6.4480695724487305
50,50,1.0,0.0,6.589757919311523
50,50,3.0,0.0,6.897662162780762
50,50,10.0,34.800000000000004,6.362607002258301
50,50,30.0,100.0,7.6374733448028564
55,1,0.01,0.7000000000000001,0.9566442966461182
55,1,0.03,2.7,0.959761381149292
55,1,0.1,4.7,0.9982774257659912
55,1,0.3,13.5,0.9529786109924316
55,1,1.0,42.300000000000004,0.9626870155334473
55,1,3.0,81.7,0.9636924266815186
55,1,10.0,99.80000000000001,0.9606859683990479
55,1,30.0,100.0,0.948462724685669
55,8,0.01,0.0,2.371304750442505
55,8,0.03,0.0,2.399585008621216
55,8,0.1,0.0,1.8577630519866943
55,8,0.3,0.0,1.4434945583343506
55,8,1.0,0.0,1.4307856559753418
55,8,3.0,4.3,1.5291998386383057
55,8,10.0,80.9,1.9689693450927734
55,8,30.0,100.0,1.392772912979126
55,15,0.01,0.0,2.291623115539551
55,15,0.03,0.0,2.2856335639953613
55,15,0.1,0.0,2.8060402870178223
55,15,0.3,0.0,2.3091249465942383
55,15,1.0,0.0,2.596470355987549
55,15,3.0,0.4,2.523768901824951
55,15,10.0,59.1,2.432018995285034
55,15,30.0,100.0,2.5507314205169678
55,22,0.01,0.0,3.6769251823425293
55,22,0.03,0.0,5.219013929367065
55,22,0.1,0.0,5.198453664779663
55,22,0.3,0.0,5.165264368057251
55,22,1.0,0.0,3.335786819458008
55,22,3.0,0.30000000000000004,3.6477363109588623
55,22,10.0,51.800000000000004,3.1242754459381104
55,22,30.0,100.0,3.7996175289154053
55,29,0.01,0.0,4.478054761886597
55,29,0.03,0.0,4.396166563034058
55,29,0.1,0.0,4.127925157546997
55,29,0.3,0.0,4.44901180267334
55,29,1.0,0.0,4.5863118171691895
55,29,3.0,0.0,5.342531442642212
55,29,10.0,44.2,6.456429719924927
55,29,30.0,100.0,6.31550931930542
55,36,0.01,0.0,5.711404085159302
55,36,0.03,0.0,5.340512990951538
55,36,0.1,0.0,5.4698545932769775
55,36,0.3,0.0,5.311277866363525
55,36,1.0,0.0,5.4365434646606445
55,36,3.0,0.0,5.311483144760132
55,36,10.0,42.1,7.555610656738281
55,36,30.0,100.0,7.710373401641846
55,43,0.01,0.0,6.684552431106567
55,43,0.03,0.0,6.195112943649292
55,43,0.1,0.0,6.283299207687378
55,43,0.3,0.0,6.273381233215332
55,43,1.0,0.0,6.193216323852539
55,43,3.0,0.0,6.862550497055054
55,43,10.0,44.6,6.675862550735474
55,43,30.0,100.0,9.007267713546753
55,50,0.01,0.0,8.741105794906616
55,50,0.03,0.0,6.9837470054626465
55,50,0.1,0.0,7.617306709289551
55,50,0.3,0.0,7.100529193878174
55,50,1.0,0.0,7.132347345352173
55,50,3.0,0.0,8.12736964225769
55,50,10.0,40.1,10.595622539520264
55,50,30.0,100.0,7.860890865325928
60,1,0.01,0.5,0.9567711353302002
60,1,0.03,1.8,0.8360259532928467
60,1,0.1,5.5,0.61553955078125
60,1,0.3,14.200000000000001,0.6173481941223145
60,1,1.0,45.2,0.6085309982299805
60,1,3.0,81.5,0.6263241767883301
60,1,10.0,99.7,0.631516695022583
60,1,30.0,100.0,0.6133286952972412
60,8,0.01,0.0,1.5844368934631348
60,8,0.03,0.0,1.5648090839385986
60,8,0.1,0.0,1.5578324794769287
60,8,0.3,0.0,2.105426073074341
60,8,1.0,0.2,1.5596158504486084
60,8,3.0,5.0,1.5593185424804688
60,8,10.0,86.60000000000001,2.09433650970459
60,8,30.0,100.0,1.535154104232788
60,15,0.01,0.0,2.5988526344299316
60,15,0.03,0.0,2.9756572246551514
60,15,0.1,0.0,2.702716588973999
60,15,0.3,0.0,2.7809503078460693
60,15,1.0,0.0,2.8759357929229736
60,15,3.0,0.30000000000000004,3.286217212677002
60,15,10.0,62.5,4.078598499298096
60,15,30.0,100.0,4.249920606613159
60,22,0.01,0.0,5.691772222518921
60,22,0.03,0.0,4.002290725708008
60,22,0.1,0.0,4.075098991394043
60,22,0.3,0.0,3.68912935256958
60,22,1.0,0.0,3.6382687091827393
60,22,3.0,0.2,3.943450450897217
60,22,10.0,58.900000000000006,3.5996389389038086
60,22,30.0,100.0,3.7539167404174805
60,29,0.01,0.0,5.496829986572266
60,29,0.03,0.0,5.241978645324707
60,29,0.1,0.0,5.272973537445068
60,29,0.3,0.0,5.642826795578003
60,29,1.0,0.0,5.982024908065796
60,29,3.0,0.1,6.786198139190674
60,29,10.0,49.7,7.36229944229126
60,29,30.0,100.0,7.251573324203491
60,36,0.01,0.0,6.158575057983398
60,36,0.03,0.0,6.132856845855713
60,36,0.1,0.0,6.1760759353637695
60,36,0.3,0.0,6.28319239616394
60,36,1.0,0.0,9.378881216049194
60,36,3.0,0.1,9.214582443237305
60,36,10.0,46.0,6.956002473831177
60,36,30.0,100.0,5.818016767501831
60,43,0.01,0.0,7.712440252304077
60,43,0.03,0.0,10.717328786849976
60,43,0.1,0.0,10.622394800186157
60,43,0.3,0.0,7.0697150230407715
60,43,1.0,0.0,6.473061561584473
60,43,3.0,0.30000000000000004,6.86329460144043
60,43,10.0,45.5,6.7459516525268555
60,43,30.0,100.0,6.366134881973267
60,50,0.01,0.0,7.818272590637207
60,50,0.03,0.0,11.843183755874634
60,50,0.1,0.0,9.197412729263306
60,50,0.3,0.0,8.067259311676025
60,50,1.0,0.0,7.600807189941406
60,50,3.0,0.0,8.254593133926392
60,50,10.0,44.300000000000004,7.607308864593506
60,50,30.0,100.0,7.4124956130981445
60,57,0.01,0.0,8.763268232345581
60,57,0.03,0.0,8.758519649505615
60,57,0.1,0.0,8.707207679748535
60,57,0.3,0.0,8.801641702651978
60,57,1.0,0.0,13.085422992706299
60,57,3.0,0.0,9.780458688735962
60,57,10.0,40.6,8.42092251777649
60,57,30.0,100.0,8.464636087417603
65,1,0.01,0.4,0.6688632965087891
65,1,0.03,1.2000000000000002,0.6514730453491211
65,1,0.1,7.1000000000000005,0.655250072479248
65,1,0.3,18.5,0.7116684913635254
65,1,1.0,47.1,0.7276935577392578
65,1,3.0,84.4,0.72843337059021
65,1,10.0,100.0,0.731011152267456
65,1,30.0,100.0,0.733332633972168
65,9,0.01,0.0,2.0469582080841064
65,9,0.03,0.0,2.0920355319976807
65,9,0.1,0.0,2.2054412364959717
65,9,0.3,0.0,2.098703384399414
65,9,1.0,0.0,2.1111490726470947
65,9,3.0,2.8000000000000003,2.0847249031066895
65,9,10.0,82.2,1.9771883487701416
65,9,30.0,100.0,1.9735097885131836
65,17,0.01,0.0,3.242888927459717
65,17,0.03,0.0,3.419767141342163
65,17,0.1,0.0,3.270441770553589
65,17,0.3,0.0,3.247305393218994
65,17,1.0,0.0,3.2280168533325195
65,17,3.0,0.4,3.243227958679199
65,17,10.0,65.3,3.166572093963623
65,17,30.0,100.0,3.1208159923553467
65,25,0.01,0.0,4.487949371337891
65,25,0.03,0.0,4.4682457447052
65,25,0.1,0.0,4.512177467346191
65,25,0.3,0.0,4.489987850189209
65,25,1.0,0.0,4.54883074760437
65,25,3.0,0.1,4.520735740661621
65,25,10.0,58.800000000000004,4.4707419872283936
65,25,30.0,100.0,4.26707911491394
65,33,0.01,0.0,6.200858116149902
65,33,0.03,0.0,6.921924829483032
65,33,0.1,0.0,7.404027938842773
65,33,0.3,0.0,9.495595932006836
65,33,1.0,0.0,9.386006116867065
65,33,3.0,0.0,6.312680006027222
65,33,10.0,51.900000000000006,5.735276937484741
65,33,30.0,100.0,5.523493528366089
65,41,0.01,0.0,7.084650278091431
65,41,0.03,0.0,6.88770866394043
65,41,0.1,0.0,7.832719802856445
65,41,0.3,0.0,10.619831323623657
65,41,1.0,0.0,8.153717041015625
65,41,3.0,0.0,7.493002414703369
65,41,10.0,49.0,6.820055246353149
65,41,30.0,100.0,6.765260696411133
65,49,0.01,0.0,9.736283540725708
65,49,0.03,0.0,10.567501068115234
65,49,0.1,0.0,10.319039344787598
65,49,0.3,0.0,9.057895183563232
65,49,1.0,0.0,8.245624303817749
65,49,3.0,0.1,8.471839427947998
65,49,10.0,44.900000000000006,8.04330587387085
65,49,30.0,100.0,7.884381532669067
65,57,0.01,0.0,9.724084615707397
65,57,0.03,0.0,9.458882808685303
65,57,0.1,0.0,12.58298110961914
65,57,0.3,0.0,11.413370370864868
65,57,1.0,0.0,9.753880739212036
65,57,3.0,0.0,11.157031774520874
65,57,10.0,45.800000000000004,11.324440240859985
65,57,30.0,100.0,10.103888034820557
65,65,0.01,0.0,16.238064527511597
65,65,0.03,0.0,10.847502708435059
65,65,0.1,0.0,10.912950277328491
65,65,0.3,0.0,10.892577409744263
65,65,1.0,0.0,11.467154026031494
